frame_index,timestamp_ms,knee_angle_left,knee_angle_right,trunk_lean_angle,elbow_angle_left,elbow_angle_right,foot_strike_offset_left,foot_strike_offset_right,hip_height,knee_symmetry_diff,step_length,knee_rom_proxy
0,0.0,138.01602418280805,152.10683019415674,10.920635736680122,76.9408946651177,141.18746056732505,0.26494646072387695,-0.17066282033920288,0.4749194532632828,14.09080601134869,0.39876433510183884,0.07828225561860383
2,66.66666666666667,136.6972472671582,149.76989845483152,10.0649009854411,74.73971659027173,93.5765716337715,0.35166841745376587,-0.18470486998558044,0.48837053775787354,13.07265118767333,0.5178304743922126,0.0726258399315185
4,133.33333333333334,111.84428348788738,136.24993039747153,7.453153264595145,78.0429354242313,123.0598461894273,0.33697301149368286,-0.11597532033920288,0.5127457678318024,24.40564690958415,0.48015304266509573,0.1355869272754675
6,200.0,73.74948659133992,120.22864353024748,9.60299036271273,77.83601296322436,,0.2189897894859314,0.0192754864692688,0.5202690362930298,46.479156938907565,0.254548876260372,0.2582175385494865
8,266.6666666666667,98.33509089370537,149.65097593911239,10.488572425634183,65.08930517593961,,-0.1212567687034607,0.09570670127868652,0.522668868303299,51.315885045407015,0.24383371338736706,0.2850882502522612
10,333.3333333333333,96.9907803732155,160.32772603712942,9.039190288664129,62.89067604561362,85.41743319237366,-0.08598655462265015,0.24744248390197754,0.5042490661144257,63.33694566391392,0.341465321254508,0.35187192035507736
12,400.0,145.2203379710007,154.29893185526274,8.60317898186324,61.74370385355945,,-0.19444766640663147,0.32174152135849,0.46612221002578735,9.078593884262034,0.5208863462960233,0.05043663269034463
14,466.6666666666667,145.19424496300593,129.48890070283812,8.050477602363241,59.829083651903744,,-0.17088279128074646,0.3245967626571655,0.471732035279274,15.705344260167806,0.5178051767027471,0.08725191255648782
16,533.3333333333334,121.20521243537166,89.87540136852483,7.51276444641522,61.11067343993804,,-0.05969953536987305,0.24690556526184082,0.5022613406181335,31.32981106684683,0.3416086500307556,0.17405450592692684
18,600.0,62.32365386570693,90.20202994293156,7.869148562339508,71.13178719559511,,0.11810916662216187,0.1480303406715393,0.5274778008460999,27.87837607722463,0.033443619570844046,0.15487986709569238
20,666.6666666666666,62.436085774142505,127.56168983280011,11.664840345938497,81.98469664998551,,0.11508619785308838,0.09895753860473633,0.5191263258457184,65.12560405865761,0.043420700521668944,0.36180891143698674
22,733.3333333333333,154.73618013704578,143.65818774299603,12.720789025608253,70.5025267183824,,0.2761109471321106,-0.12246328592300415,0.5179326832294464,11.077992394049744,0.3832519137525905,0.061544402189165244
24,800.0,143.4201171316963,163.63343539791708,12.294651776389312,73.53693595393854,,0.3362491726875305,-0.19874528050422668,0.5064642429351807,20.213318266220796,0.5217485867832637,0.11229621259011553
26,866.6666666666667,117.71458512056405,144.1059928879229,10.422299408893041,76.06905825228164,,0.3383480906486511,-0.13005545735359192,0.4975087195634842,26.391407767358842,0.4745385893733258,0.14661893204088244
28,933.3333333333334,85.44500104828846,141.38724895808116,12.08064732731062,83.36952154242502,,0.25948548316955566,-0.08917456865310669,0.5154940485954285,55.9422479097927,0.367649257921005,0.310790266165515
30,1000.0,63.20540035655669,112.12928603359607,12.555234824402865,68.59122802993971,,0.11078780889511108,0.06836020946502686,0.5208490788936615,48.92388567703939,0.12261940079253257,0.27179936487244105
32,1066.6666666666667,79.91203062303381,154.99516984752165,11.825611536512143,66.53548050299106,,-0.002016782760620117,0.1937536597251892,0.5098083913326263,75.08313922448784,0.21936984956449426,0.41712855124715464
